Structure(SMILES)	DTXCID
Fc1c(c(F)c(F)c(F)c1F)C(F)=C(F)C(F)(F)F	DTXCID50735219
Fc1c(c(F)c(F)c(F)c1F)C(F)(F)I	DTXCID70297541
Fc1c(c(F)c(F)c(F)c1F)C(F)(F)F	DTXCID4040262
Fc1c(c(F)c(F)c(F)c1F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID601325154
Fc1c(c(F)c(F)c(F)c1F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID101325266
Fc1c(c(F)c(F)c(F)c1F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID80801390
Fc1c(c(F)c(F)c(F)c1F)C(F)(F)C(Br)(F)C(Br)(F)F	DTXCID001507510
Fc1c(c(F)c(F)c(F)c1F)C(F)(F)C(\F)=C(/F)F	DTXCID30330786
Fc1c(c(F)c(F)c(F)c1F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID601325835
Fc1c(c(F)c(F)c(F)c1F)C(Cl)(F)C(F)(F)F	DTXCID80737463
Fc1c(c(F)c(F)c(F)c1F)C(Cl)(F)C(Br)(F)F	DTXCID00568291
Fc1c(c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl	DTXCID20333201
Fc1c(c(F)c(F)c(F)c1F)C(Br)(F)F	DTXCID40569762
Fc1c(c(F)c(F)c(F)c1F)C(\F)=C(/F)F	DTXCID60296164
Fc1c(c(F)c(F)c(F)c1F)C(\Cl)=C(/F)F	DTXCID60458184
Fc1c(c(F)c(F)c(F)c1F)\C(=C(/F)F)C(F)(F)F	DTXCID30458292
Fc1c(c(F)c(F)c(F)c1F)\C(=C(/F)F)C(Cl)(F)F	DTXCID90458293
Fc1c(c(F)c(F)c(Cl)c1F)C(F)(F)F	DTXCID90333132
Fc1c(c(F)c(F)c(Cl)c1F)C(Cl)(Cl)Cl	DTXCID10490933
Fc1c(c(F)c(F)c(c1F)C(F)(F)F)C(F)(F)F	DTXCID50137895
Fc1c(c(F)c(F)c(c1F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID30330903
Fc1c(c(F)c(F)c(c1F)C(Cl)(Cl)Cl)C(F)(C(F)(F)F)C(F)(F)F	DTXCID301325862
Fc1c(c(F)c(F)c(Br)c1F)c1c(F)c(F)c(F)c(F)c1F	DTXCID10352401
Fc1c(c(F)c(F)c(Br)c1F)c1c(F)c(F)c(Br)c(F)c1F	DTXCID3032830
Fc1c(c(F)c(F)c(Br)c1F)C(F)(F)F	DTXCID20298922
Fc1c(c(F)c(c(F)c1F)C(F)(F)F)C(F)(F)F	DTXCID70331237
Fc1c(c(c(F)c(F)c1F)C(F)(F)F)C(F)(F)F	DTXCID0095964
Fc1c(c(c(F)c(F)c1F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID00497855
Fc1c(c(c(F)c(F)c1F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID801325855
Fc1c(c(c(F)c(F)c1F)C(F)(F)F)C(=C(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID40289756
Fc1c(c(c(F)c(F)c1F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID50498438
Fc1c(C#CCl)c(F)c(F)c(F)c1F	DTXCID50801963
Fc1c(C#Cc2c(F)c(F)c(F)c(F)c2F)c(F)c(F)c(F)c1F	DTXCID60363865
Fc1c(C#CC#Cc2c(F)c(F)c(F)c(F)c2F)c(F)c(F)c(F)c1F	DTXCID90513533
Fc1c(Br)c(F)c(F)c(Br)c1F	DTXCID80110459
FC12C3(F)C(F)(F)C(F)(F)C4(F)C(F)(F)C(F)(F)C5(F)C(F)(C41F)C1(F)C4(F)C2(F)C(F)(C(F)(F)C(F)(F)C4(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C5(F)F)C(F)(F)C3(F)F	DTXCID20548217
FC12C3(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C31F	DTXCID401411892
FC1=C(F)c2c(F)c(F)c(F)c(F)c2C(F)(F)C1(F)F	DTXCID40452004
FC1=C(F)C2(F)C(F)=C(F)C12F	DTXCID80140170
FC1=C(F)C1(F)F	DTXCID10494355
FC1=C(F)C(F)=C1F	DTXCID101505224
FC1=C(F)C(F)(F)C1(F)F	DTXCID7046546
FC1=C(F)C(F)(F)C(F)=C(F)C1(F)F	DTXCID00458067
FC1=C(F)C(F)(F)C(F)=C(F)C1(Cl)F	DTXCID30470030
FC1=C(F)C(F)(F)C(=C(F)C1(F)F)c1c(F)c(F)c(F)c(F)c1F	DTXCID10476151
FC1=C(F)C(Cl)(F)C(F)=C(F)C1(Cl)F	DTXCID60497755
FC1=C(F)C(Cl)(F)C(F)=C(F)C1(Br)F	DTXCID20497756
FC1=C(Cl)C(F)(F)C1(F)F	DTXCID50452131
FC1(F)c2c3c(c4c(c2C(F)(F)C1(F)F)C(F)(F)C(F)(F)C4(F)F)C(F)(F)C(F)(F)C3(F)F	DTXCID10109159
FC1(F)c2c(F)c(F)c(F)c(F)c2C1(F)F	DTXCID20485118
FC1(F)c2c(F)c(F)c(F)c(F)c2C1(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID101325880
FC1(F)c2c(F)c(F)c(F)c(F)c2C(F)(F)C1(F)F	DTXCID30381692
FC1(F)c2c(F)c(F)c(F)c(F)c2C(F)(F)C1(Br)F	DTXCID10475826
FC1(F)c2c(F)c(F)c(F)c(F)c2C(F)(F)C(F)(F)C1(F)F	DTXCID10100469
FC1(F)c2c(F)c(F)c(Cl)c(F)c2C(F)(F)C1(F)F	DTXCID20475817
FC1(F)c2c(F)c(Cl)c(Cl)c(F)c2C(F)(F)C1(F)F	DTXCID80475818
FC1(F)c2c(c3c(c4c2C(F)(F)C4(F)F)C(F)(F)C3(F)F)C1(F)F	DTXCID401382598
FC1(F)c2c(Br)c(Br)c(Br)c(Br)c2C1(F)F	DTXCID50568322
FC1(F)C2=C(C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)C(F)(F)C1(F)F	DTXCID00125944
FC1(F)C2(F)C1(F)C2(F)F	DTXCID90709676
FC1(F)C2(F)C(F)=C(F)C2(F)C1(F)F	DTXCID10295001
FC1(F)C2(F)C(F)=C(F)C1(F)C(F)=C2F	DTXCID70330801
FC1(F)C2(F)C(F)(F)C3(F)C(F)(F)C1(F)C(F)(F)C(F)(C2(F)F)C3(F)F	DTXCID4046448
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C3(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C1(F)F)C32F	DTXCID101381008
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C2(F)F	DTXCID00796810
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F	DTXCID70896750
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F	DTXCID9027029
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C1(F)F	DTXCID00819134
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C1(F)F	DTXCID8026511
FC1(F)C(F)=C(F)C2(F)C(F)=C(F)C21F	DTXCID20475312
FC1(F)C(F)=C(F)C(F)=C(F)C1(F)F	DTXCID70295002
FC1(F)C(F)=C(F)C(F)=C(F)C(F)=C1F	DTXCID60475311
FC1(F)C(F)=C(F)C(F)(F)C2=C1C(F)(F)C(F)=C(F)C2(F)F	DTXCID80480866
FC1(F)C(F)=C(F)C(F)(F)C1(F)F	DTXCID4041991
