Structure(SMILES)	DTXCID
FC(F)(F)c1c(F)c(F)c(F)c2c1c(F)c(F)c(F)c2F	DTXCID20569341
FC(F)(F)c1c(F)c(c(F)c(c1F)C(F)(F)F)C(F)(F)F	DTXCID00331063
FC(F)(F)c1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID00240469
FC(F)(F)C12C3(C4(C3(C1(C42C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID7099765
FC(F)(F)C12C3(C(=C(C1(C32C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID2099213
FC(F)(F)C12C(F)(F)C3(F)C(F)(F)C(F)(C1(F)F)C(F)(F)C(F)(C3(F)F)C2(F)F	DTXCID4042757
FC(F)(F)C12C(F)(F)C3(F)C(F)(F)C(C(F)(F)C(F)(C1(F)F)C3(F)F)(C(F)(F)F)C2(F)F	DTXCID70112482
FC(F)(F)C12C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)F	DTXCID401513185
FC(F)(F)C12C(F)(F)C(F)(C(F)(F)C(F)(F)C2(F)C(F)(F)F)C(F)(F)C(F)(F)C1(F)F	DTXCID50775453
FC(F)(F)C12C(=C(C2(C(=C1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID70100243
FC(F)(F)C1=C(F)c2c(c(F)c(F)c(F)c2F)C1(F)F	DTXCID20451858
FC(F)(F)C1=C(C(F)(F)F)C1(Cl)C(F)(F)F	DTXCID40738017
FC(F)(F)C1(F)c2c(c(F)c(F)c(F)c2F)C(F)(F)C1(F)F	DTXCID30969893
FC(F)(F)C1(F)C(F)=C(F)C1(F)F	DTXCID101338497
FC(F)(F)C1(F)C(F)(F)c2c(c(F)c(F)c(F)c2F)C1(F)F	DTXCID401513204
FC(F)(F)C1(F)C(F)(F)C2=C(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F	DTXCID80289755
FC(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F	DTXCID101021717
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F	DTXCID10819281
FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F	DTXCID8034087
FC(F)(F)C1(C2(F)C(F)(F)C3(F)C(F)(F)C1(F)C(F)(F)C(F)(C2(F)F)C3(F)F)C(F)(F)F	DTXCID501513233
FC(F)(F)C=1C(=C(C=1C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID30802039
FC(F)(F)C=1C#CC(=C=C=1)C(F)(F)F	DTXCID10731777
FC(F)(F)C=1\C(=C(/F)F)C(F)(F)C=1F	DTXCID20295032
FC(F)(F)C(I)(C(F)(F)F)C(F)(F)F	DTXCID10118721
FC(F)(F)C(I)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID30322606
FC(F)(F)C(F)=C(Cl)F	DTXCID50644892
FC(F)(F)C(F)=C(Br)F	DTXCID00347306
FC(F)(F)C(F)(I)I	DTXCID50568342
FC(F)(F)C(F)(I)C(F)(F)F	DTXCID6044987
FC(F)(F)C(F)(I)C(F)(F)C(F)(F)F	DTXCID50896657
FC(F)(F)C(F)(I)C(F)(F)C(F)(F)C(F)(F)F	DTXCID401022564
FC(F)(F)C(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID201021710
FC(F)(F)C(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID101021812
FC(F)(F)C(F)(F)I	DTXCID6020149
FC(F)(F)C(F)(F)F	DTXCID0021915
FC(F)(F)C(F)(F)C(F)(F)I	DTXCID6047781
FC(F)(F)C(F)(F)C(F)(F)F	DTXCID3031076
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F	DTXCID801323297
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F	DTXCID701323282
FC(F)(F)C(F)(F)C(F)(C1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)F	DTXCID301323309
FC(F)(F)C(F)(F)C(F)(C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)F	DTXCID401323295
FC(F)(F)C(F)(F)C(Cl)(F)F	DTXCID8040062
FC(F)(F)C(F)(F)C(Cl)(Cl)F	DTXCID10104220
FC(F)(F)C(F)(F)C(Br)(F)F	DTXCID3040061
FC(F)(F)C(F)(C(F)=C(F)I)C(F)(F)F	DTXCID801325798
FC(F)(F)C(F)(C(F)=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID501323767
FC(F)(F)C(F)(C(F)(F)F)I(F)(F)(F)F	DTXCID80289750
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)I	DTXCID401021754
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID10111373
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F	DTXCID601323310
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F	DTXCID101323296
FC(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID80330832
FC(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID501323248
FC(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID10106805
FC(F)(F)C(F)(C(F)(F)C(F)(F)C(Cl)(Cl)Cl)C(F)(F)F	DTXCID80699996
FC(F)(F)C(F)(C(F)(F)C(F)(C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID401022326
FC(F)(F)C(F)(C(F)(F)C(/F)=C(/F)F)C(F)(F)F	DTXCID801325805
FC(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID80285535
FC(F)(F)C(F)(C(F)(\C(=C(/C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID60711201
FC(F)(F)C(F)(C(/F)=C(\F)I)C(F)(F)F	DTXCID101325797
FC(F)(F)C(F)(C(/F)=C(\F)F)C(F)(F)F	DTXCID9098436
FC(F)(F)C(F)(C(/F)=C(\F)C(F)(F)F)C(F)(F)F	DTXCID201021746
FC(F)(F)C(F)(C(/F)=C(\C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID60401079
FC(F)(F)C(F)(C(/F)=C(/F)I)C(F)(F)F	DTXCID501325799
FC(F)(F)C(F)(C(/F)=C(/F)C(F)(F)F)C(F)(F)F	DTXCID401021780
FC(F)(F)C(F)(C#CF)C(F)(F)F	DTXCID60493454
FC(F)(F)C(F)(/C(=C(\F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID401021835
FC(F)(F)C(F)(/C(=C(\C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID10511879
FC(F)(F)C(Cl)=C(Cl)F	DTXCID00285653
FC(F)(F)C(Cl)(F)I	DTXCID70293907
FC(F)(F)C(Cl)(F)F	DTXCID306435
FC(F)(F)C(Cl)(F)C(F)(F)F	DTXCID20149384
FC(F)(F)C(Cl)(F)C(Cl)(F)F	DTXCID60811139
FC(F)(F)C(Cl)(Cl)I	DTXCID80530436
FC(F)(F)C(Cl)(Cl)F	DTXCID407150
FC(F)(F)C(Cl)(Cl)C(F)(F)F	DTXCID8090352
FC(F)(F)C(Cl)(Cl)C(Cl)(F)F	DTXCID7089257
FC(F)(F)C(Cl)(Cl)C(Cl)(Cl)F	DTXCID40498280
FC(F)(F)C(Cl)(C(F)(F)F)C(F)(F)F	DTXCID50333173
FC(F)(F)C(C1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)(C(F)(F)F)C(F)(F)F	DTXCID301323311
FC(F)(F)C(C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)(C(F)(F)F)C(F)(F)F	DTXCID701323294
FC(F)(F)C(C(F)=C(F)C(F)(F)C(F)(F)C(F)=C(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID601323322
FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID40383763
FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID301323230
FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID10568328
FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID90331052
FC(F)(F)C(Br)(F)F	DTXCID50111372
FC(F)(F)C(Br)(Cl)F	DTXCID90487720
FC(F)(F)C(Br)(C(F)(F)F)C(F)(F)F	DTXCID90289721
FC(F)(F)C(Br)(Br)F	DTXCID30813781
FC(F)(F)C#CI	DTXCID501387808
FC(F)(F)C#CC(F)(F)F	DTXCID1046471
FC(F)(F)C#CC#CC(F)(F)F	DTXCID8069515
FC(F)(F)\C(=C=C=C(\C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID00767242
FC(F)(F)\C(=C=C(/C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID9079931
FC(F)(F)\C(=C(/C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID901385361
FC(F)(F)[C@]1(F)C(F)(F)[C@](F)(C(F)(F)F)C1(F)F	DTXCID201326881
FC(F)(F)[C@@]1(F)C(F)(F)[C@](F)(C(F)(F)F)C1(F)F	DTXCID601021843
FC(F)(F)/C(=C(\F)C(F)(F)F)C(F)(F)F	DTXCID80453939
FC(F)(F)/C(=C(\Cl)C(F)(F)F)C(F)(F)F	DTXCID10459828
FC(F)(C(F)=C(F)I)C(F)(F)F	DTXCID60348475
FC(F)(C(F)=C(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID40711961
FC(F)(C(F)=C(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID30352943
FC(F)(C(F)=C(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID301324802
FC(F)(C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID80657233
FC(F)(C(F)(F)C(I)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID60819195
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)I	DTXCID70113439
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)F	DTXCID8027583
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)I	DTXCID601510901
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)F	DTXCID4044111
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)I	DTXCID80113440
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5027566
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3038692
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	DTXCID30287064
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6040901
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	DTXCID20731809
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1041972
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1040085
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID801021718
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2038239
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID501021733
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1038240
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID201021722
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3039038
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7038076
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2038075
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID50106440
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID00115380
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID601021948
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID3038519
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID8038518
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID5044990
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F	DTXCID80322515
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID7048532
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(Cl)(F)F	DTXCID60322513
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID0038910
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(Cl)(F)C(Cl)(F)F	DTXCID501510908
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID3039036
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)=C(F)C(F)(F)F	DTXCID80644885
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)F	DTXCID60661353
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID1026613
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F	DTXCID901324898
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5026548
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5030583
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2038237
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID70285569
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID009059
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID80286926
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID70107217
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID90331057
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID30107218
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID80326139
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID00111488
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID301324971
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID70113515
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID401325015
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID00331048
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(/F)F	DTXCID801325031
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(/F)F	DTXCID701325026
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(/F)F	DTXCID701324973
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(\F)=C(/F)F	DTXCID20111324
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(Cl)Cl	DTXCID80495455
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(\F)=C(/F)F	DTXCID20113525
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(Cl)Cl	DTXCID10511238
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(\F)=C(/F)F	DTXCID90126980
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID301323335
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(\F)=C(/F)F	DTXCID60111489
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)F	DTXCID801324902
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID00416804
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID001323336
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(Cl)(Cl)Cl	DTXCID50511237
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(\F)=C(/F)F	DTXCID00148931
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(/F)=C(\F)C(F)(F)F	DTXCID40981905
FC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F	DTXCID00111483
FC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)F	DTXCID501021745
FC(F)(C(F)(F)C(F)(F)F)C(Cl)(Cl)Cl	DTXCID70105672
FC(F)(C(F)(F)C(F)(F)F)C(Cl)(Cl)C(Cl)(Cl)Cl	DTXCID50503495
FC(F)(C(F)(F)C(F)(F)F)C(Cl)(C(F)(F)F)C(F)(F)F	DTXCID50322562
FC(F)(C(F)(F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID401324736
FC(F)(C(F)(F)C(F)(F)F)C(C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F	DTXCID90777411
FC(F)(C(F)(F)C(F)(F)F)C(Br)(C(F)(F)F)C(F)(F)F	DTXCID10322265
FC(F)(C(F)(F)C(Cl)(F)I)C(F)(F)F	DTXCID90743671
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)F	DTXCID30322525
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)F	DTXCID201517886
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID40111487
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID80819192
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID50107215
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F	DTXCID50329879
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F	DTXCID60329880
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(Cl)Cl	DTXCID90487129
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(Cl)(F)F	DTXCID10322684
FC(F)(C(F)(F)C(Cl)(F)F)C(F)(F)C(F)(F)C(\F)=C(/F)F	DTXCID10743158
FC(F)(C(F)(F)C(Cl)(F)F)C(Cl)(F)F	DTXCID20111485
FC(F)(C(F)(F)C(Cl)(Cl)F)C(F)(F)F	DTXCID70547215
FC(F)(C(F)(F)C(Cl)(Cl)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID001513183
FC(F)(C(F)(F)C(Cl)(Cl)F)C(Cl)(Cl)F	DTXCID00498488
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)F	DTXCID70289724
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)F	DTXCID001518088
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID90109632
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6039346
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3026560
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID20330957
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID10107216
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID601518050
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID601324849
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)(F)F	DTXCID00322638
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(Br)(F)F	DTXCID00819194
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(Cl)(F)F	DTXCID30402775
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(Br)(F)F	DTXCID70286218
FC(F)(C(F)(F)C(Br)(F)F)C(Cl)(F)F	DTXCID30481308
