Structure(SMILES)	DTXSID	FW
BrC(F)(C(F)(F)F)C(Br)(F)F	DTXSID60880143	309.8305
FC(F)(F)C(O)C(F)(F)F.O=S(O)O.FC(F)(F)C(O)C(F)(F)F	DTXSID20850807	418.1547 (82.0791+168.0378+168.0378)
FC(F)(C(F)(F)CCI)C(F)(F)F	DTXSID60880148	323.9786
FC(F)(F)C(F)(F)C(F)(F)C1=Nc2ccccc2NC(=O)C1	DTXSID30896170	328.1856
FC(F)(Sc1ccc(C)cc1)C(F)C(F)(F)F	DTXSID70319055	274.2259
C[N+](C)(CCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID801036214	681.2555
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1	DTXSID00895675	937.0587
FC(F)(c1cc(Br)ccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00895670	475.0434
FC(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O	DTXSID301035142	742.1235
O=C(Nc1cccc(F)c1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30896175	557.1776
FC(F)(F)C(O)(c1ccc2NCCCc2c1)C(F)(F)F	DTXSID10545316	299.2123
OCC(=O)SC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301036471	716.2533
[Na+].O=S([O-])(=O)c1ccc(OC(F)(F)C(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)F)cc1	DTXSID60893455	476.1950 (453.2057+22.9892)
[Na+].O=S(=O)(N(CCCS(=O)(=O)[O-])CC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30880978	671.3228 (648.3335+22.9892)
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CCNCC1CCNCC1	DTXSID101032580	484.3814
FC(F)(F)C([2H])(OC([2H])([2H])F)C(F)(F)F	DTXSID30595378	203.0733
FC(F)(CC(O)COC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50381270	362.1889
FC(F)(COOCC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXSID801026899	398.0938
FC(F)(CCCC=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID70441623	490.1562
IC(F)(F)C(F)(F)C(=O)C(F)(C(F)(F)F)C(F)(F)F	DTXSID00758852	423.9505
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C1(F)OC1F	DTXSID301023169	298.0540
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID70880432	670.3816
FC(F)(F)C(F)(F)COC	DTXSID20379765	164.0739
C=C(C)C(F)(F)C(F)F	DTXSID00698623	142.0948
FC(F)(Oc1ccc(cc1)C(=O)OC)C(F)F	DTXSID10240137	252.1623
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)F	DTXSID201032288	462.1328
FC(F)C(F)(F)C(=O)OC	DTXSID50463267	160.0670
FC(F)(OC(F)(F)C(F)Cl)C(F)(F)C#N	DTXSID00618548	259.5094
C[Si](Cl)(Cl)CCCOCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID701023678	471.1671
FC(F)(C1(F)OC(F)=C(F)C(F)=C1F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID10829921	440.0809
FC(F)(F)C(C=CC(=O)O)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60379249	390.0982
FC(F)(Oc1ccccc1OC(F)(F)C(F)(F)F)C(F)(F)F	DTXSID701022349	346.1216
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID8062600	350.1071
FC(F)(C(F)(F)S(F)(=O)=O)C(F)(F)C(F)(F)S(F)(=O)=O	DTXSID00559644	366.1544
OCC(=O)SC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301036469	616.2382
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)=C(F)C(F)(F)F	DTXSID101032592	362.1178
FC(F)C(F)(F)C(N)=O	DTXSID60380239	145.0556
FC(F)(Sc1cc(C)c(N)cc1)C(F)(F)C(F)(F)F	DTXSID801026887	307.2310
O=C(Nc1cc(C)c(cc1C)C(O)(C(F)(F)F)C(F)(F)F)NC(=O)c1c(F)cccc1F	DTXSID90240817	470.3133
FC1(F)C(F)(F)C(F)(F)C1(F)OC(c1ccccc1)(c1ccccc1)c1ccccc1	DTXSID40832746	440.3534
FC(F)(OC(F)(F)C1(F)OC1(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50787071	532.0739
FC(F)(C=1N=C(NC(=O)C=1)c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30896190	390.2038
FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901026654	763.1135
FC(F)(F)C(Br)F	DTXSID10861765	180.9270
CCO[Si](OCC)(OCC)CCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID70783393	418.3772
FC(F)(F)C1(OCC(CO)O1)C(F)(F)F.O=C(O)Nc1ccccc1	DTXSID20789648	377.2364 (240.1005+137.1360)
C[N+](C)(CCCN(CCC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID301035166	414.3461
COc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1	DTXSID30896195	519.2056
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)F	DTXSID201032276	712.1703
Oc1cc(ccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F)NC(=O)C(CCCC)Oc1ccc(cc1C(C)(C)CC)C(C)(C)CC	DTXSID30880958	682.6848
OCC(C(F)(F)F)C(F)(F)F.O=P(O)(O)O.FC(F)(F)C(CO)C(F)(F)F.FC(F)(F)C(CO)C(F)(F)F	DTXSID00794432	644.1883 (97.9952+182.0644+182.0644+182.0644)
FC(F)(C(F)(F)S(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID401034816	634.1527
O=S(=O)(Oc1ccc(cc1)C=C)C(F)(F)C(F)(F)C(F)(F)F	DTXSID801026918	352.2253
FC(F)(C1CCC(CC1)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10720484	446.2045
FC(F)(F)/C(=C1/S/C(SC2(S/C(S2)=C(/C(F)(F)F)C(F)(F)F)N1C)=C(/C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID20317445	655.4116
FC(F)(F)C1(OI(Br)c2ccc(C)cc21)C(F)(F)F	DTXSID20316115	462.9529
O=C1C=CC=CC=C1OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50772922	368.1950
O=S(=O)(OCCCF)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601023168	360.1698
ClC(F)(C(F)(F)C(=O)O)C(F)(F)C(Cl)(F)C(Cl)(F)F	DTXSID90880176	363.4172
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID40607395	346.1135
FC(F)(F)C(F)(F)C(=O)CC(=O)c1ccc2cc3ccccc3cc2c1	DTXSID90839967	366.2815
FC1(F)C(Cl)=C(F)C(F)(F)C1(F)F	DTXSID90880171	228.4953
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1(F)OC1F	DTXSID301023171	398.0690
OCC(=O)SC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601036470	666.2457
OCC(=O)SC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601036468	566.2307
FC(F)(F)C(O)C(F)(F)F.CS(=O)(=O)O	DTXSID30725133	264.1435 (96.1057+168.0378)
FC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)C(=O)O	DTXSID50723994	444.0579
FC(F)(c1cc(C)[NH]n1)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20379705	300.1243
FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901026642	863.1286
FC(F)(C(F)F)C(F)(F)C(F)(F)F	DTXSID20379700	220.0364
FC(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O	DTXSID301035154	842.1385
FC(F)(C1CN(C)CCC1=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10617582	431.1931
Clc1cc(cc(Cl)c1N)S(=O)C(F)(C(F)(F)F)C(F)(F)F	DTXSID801026906	378.0940
FC(F)(OCC(CCCCCCCCCC)CCCCCCCC)C(F)F	DTXSID50710682	398.5619
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CCO)CCC[N+](C)(C)CCO	DTXSID101032530	473.3749
CC(C)(C)OC(=O)/N=C(\C(F)(F)F)C(F)(F)F	DTXSID00373847	265.1530
FC(F)(C(=O)OC=C)C(F)(F)F	DTXSID70189215	190.0681
CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID701027256	278.0724
Cl.ClCCN(CC(F)(F)C(F)(F)C(F)(F)CN(CCCl)CCCl)CCCl	DTXSID60994693	496.5747 (460.1137+36.4609)
O=C(CC(=O)C(F)(F)OC(F)(F)F)c1cccs1	DTXSID20509060	288.1912
C[N+](C)(C)CCCN(CCC([O-])=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301035180	770.3966
FCCC(F)C(F)(F)F	DTXSID901026678	148.0745
FC(F)(OC(F)(F)C(O)=O)C(/F)=C(\F)C(F)(F)F	DTXSID601035127	292.0560
OCC(=O)SC(=O)CCC(F)(F)C(F)(F)F	DTXSID601036456	266.1857
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)F)CCO	DTXSID101032542	329.3073
FC(F)(c1cccc(c1)C(=O)OC)C(F)(F)F	DTXSID90802656	254.1534
FC(F)([C@H]1CCCC[C@H]1I)C(F)(F)F	DTXSID10379436	328.0615
[I-].C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30880938	576.2088 (449.3038+126.9050)
[Fe+6].FC(F)(F)C1(OC[CH-]C1(C)C)C(F)(F)F.[O+]#[C-].[O+]#[C-].[c-]1[c-][c-][c-][CH-]1	DTXSID10715916	408.0735 (55.8417+235.1474+28.0101+28.0101+61.0642)
[NH4+].[O-]S(=O)(=O)CC(O)CN(CCC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101033871	496.3674 (18.0379+478.3295)
FC(F)C(F)(F)OCC	DTXSID4075249	146.0835
FC(F)(OC(F)(F)F)C(F)(F)C(F)(F)OC(F)C(F)(F)C(=O)OC	DTXSID60893410	392.0958
FC(F)(C(F)F)C(F)(F)C(Cl)(F)F	DTXSID4075245	236.4910
CCO\C(=C=C(/C(F)(F)F)C(F)(F)F)SCC	DTXSID30841342	280.2305
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90880156	524.0086
FC(F)(F)C(O)(SCCN)C(F)(F)F	DTXSID90276878	243.1706
[Li+].FC(F)(C(F)(F)C([O-])=O)C(F)(F)F	DTXSID301032912	219.9714 (213.0310+6.9405)
FC(C(F)(F)C(F)(F)F)(C(F)(C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXSID90880151	438.0569
FC(F)(C(F)=C(CC)C=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00818945	370.1349
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[N+](C)(C)CC	DTXSID501034576	620.2629
[K+].FC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C([O-])=O	DTXSID50232970	368.1431 (39.0978+329.0454)
FC(F)(OC(F)(F)F)C(F)(F)C(F)(F)OC(F)(F)C(F)C(F)(F)C(=O)O	DTXSID001034183	428.0767
O=C(C(Cl)C(O)(C(F)(F)F)C(F)(F)F)c1ccccc1	DTXSID90905696	320.6155
FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F	DTXSID30892617	529.5306
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)c1ccc(cc1)P(c1ccc(cc1)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)c1ccc(cc1)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID60681091	1264.3902
FC(F)(COC(O)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID80801032	298.0788
FC(F)(F)C(F)C(F)=O	DTXSID20536674	148.0315
FC(F)(C(F)(F)C(O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID901026666	566.1068
FC(F)(CCCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601036444	642.2243
FC(F)(CCS(=O)CC(O)C[N+](C)(C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30892612	712.3799
FC(F)(C(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601035115	396.0779
FC(F)(C(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301035178	296.0629
FC1(F)C(OC)=C(OC)C1(F)F	DTXSID10617562	186.1043
O=C(c1ccc(Cl)cc1)c1ccc(OC(F)(F)C(F)F)cc1	DTXSID00654244	332.6774
FC(F)(P(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXSID10527415	446.1195
FC(F)(C#CC(=O)SC)C(F)(F)F	DTXSID20548636	218.1444
O=C1CCCCC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30853329	466.1860
FC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCC[NH2+]CCO	DTXSID80881192	1895.4583 (1789.3152+106.1430)
FC1(F)C(F)(F)C(Cl)=C(Cl)C(F)(F)C1(F)F	DTXSID30187297	294.9574
FC(F)(C(F)(C(F)=O)C(F)(F)F)C(F)(F)F	DTXSID50631323	266.0369
FC(F)(F)C(F)(F)[Se][Se]C(F)(F)C(F)(F)F	DTXSID50631328	395.9468
FC(F)(F)C(OCC=C)C(F)(F)F	DTXSID00613735	208.1017
FC(F)(C(F)(F)OC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)CC(F)(F)F	DTXSID50796805	400.1609
FC(F)(C(F)=CF)C(F)(F)C(F)(F)F	DTXSID70705873	232.0471
FC(F)(C(F)(F)[Si](Cl)(Cl)Cl)C(F)(F)CCC(F)(F)F	DTXSID30701159	381.5261
[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00881073	978.2199 (942.1441+18.0379+18.0379)
O=S(=O)(N([Sn](C)(C)C)[Sn](C)(C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID10702604	624.7260
OC(CS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C[N+](C)(C)C	DTXSID501035893	628.3643
OS(=O)(=O)c1ccc(OC(/F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1	DTXSID601035103	654.2432
FC(F)(F)C(F)(F)C(Br)=O	DTXSID70578266	226.9275
FC(F)(C(F)(F)C(=O)OC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC	DTXSID50371853	418.1331
FC(F)(F)C(I)CC(F)(C(F)(F)F)C(F)(F)F	DTXSID60730538	391.9765
FC(F)([C@H]1CC[C@H](CC1)C(N)=O)C(F)(F)C(F)(F)F	DTXSID20896705	295.1972
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCCCOC(=O)C(=C)C	DTXSID9070826	603.3436
Oc1ccc(CCCCNCC(F)(F)C(F)(F)F)cc1O	DTXSID20801819	313.2637
O=C(OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)C=C	DTXSID20619613	352.1014
FC(F)([C@H]1CC[C@H](CC1)C(=O)O)C(F)(F)C(F)(F)F	DTXSID20896700	296.1820
FC(Oc1ccc(cc1)C(=O)OCCO)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50806711	612.2345
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCCCOC(=O)C(=C)C	DTXSID9070828	503.3286
FC(F)(F)C(I)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F	DTXSID70371572	445.9479
FC(F)(C(F)(F)C(F)(F)F)C(CC=C)(C(F)(F)F)C(F)(F)F	DTXSID80545621	360.1152
FC1(F)C(F)(C(F)(F)C(F)(C(=O)O)C1(F)F)C(F)(F)C(F)(F)F	DTXSID201034896	376.0716
FC(F)(C(F)(F)[Sn](C)(C)C)C(F)(F)C(F)(F)F	DTXSID00826287	382.8420
FC(F)(Oc1cc(ccc1C(=O)O)OC(F)(F)C(F)C(F)(F)F)C(F)C(F)(F)F	DTXSID201033567	454.1652
FC(F)(CC)C(F)C(F)(F)F	DTXSID40574699	180.0916
FC(F)(CCSC(O)CC(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101036087	668.2616
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O)S(F)(F)(F)(F)F	DTXSID201032238	558.1807
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)CCF	DTXSID70593893	366.0950
FC(F)(c1ccc(Br)cc1)C(F)(F)c1ccccc1	DTXSID20606301	333.1189
FC(F)(C(F)(F)C#N)C(F)(F)C#N	DTXSID20191040	202.0573
FC(F)(COP(=O)(O)O)C(F)F	DTXSID301032936	212.0368
O=[N+]([O-])c1cccc(C(=O)Nc2c(C)cc(cc2C)C(F)(C(F)(F)F)C(F)(F)F)c1Cl	DTXSID001027005	472.7413
FC(F)(C(F)(F)C(=O)OC)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID60369822	528.1100
FC(F)(OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)OC(F)(F)F	DTXSID701027294	386.0400
FC(F)(C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O	DTXSID90663108	530.0828
O=[N+]([O-])c1cc(cc(c1)[N+]([O-])=O)COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID70769031	444.2066
FC(F)(c1ccc(F)cc1)C(F)(F)c1ccc(F)cc1	DTXSID30457720	290.2037
FC1(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F	DTXSID90173474	416.0595
O=S(=O)(Oc1cc(cc(c1)C(C)(C)C)C(C)(C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20330477	488.4082
OCC(C)(CO)N(C(=O)C(F)(F)C(F)(F)C(N)=O)C(C)(CO)CO	DTXSID00701000	364.2906
O=S(CC(C)C)c1c(CC)c(ccc1C(F)(C(F)(F)F)C(F)(F)F)C(=O)O	DTXSID10896436	422.3582
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID501021202	464.0941
FC(F)(F)C(N)(N)C(F)(F)F	DTXSID7061936	182.0677
O=S(=O)(CS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20330472	580.2110
ClCC(F)C(F)(F)F	DTXSID201019268	150.5025
[Na+].[O-]S(=O)(=O)CC(O)CN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101033821	487.2921 (22.9892+464.3029)
O=S(=O)(C(C)C)c1c(CC)c(ccc1C(F)(C(F)(F)F)C(F)(F)F)C(=O)O	DTXSID10896431	424.3310
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)ON=C(c1ccc2c3ccccc3Cc2c1)C(F)(F)C(F)(F)C(F)(F)F	DTXSID201033555	659.3405
FC(F)(F)C(F)(F)C1=NNC(=NN1)c1ccc(Cl)cc1	DTXSID20787023	312.6265
FC(F)(CCSCC(O)C[N+](C)(C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101036099	896.4105
FC(F)(C(F)(F)F)S(=O)(=O)NCC(O)=O	DTXSID501035831	257.1359
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID401019226	682.1692
FC(F)(F)C(F)(F)C(=O)NC(C)Cc1ccccc1	DTXSID80345562	281.2218
FC(F)(c1ccc(O)cc1)C(F)(F)c1ccc(O)cc1	DTXSID10463849	286.2216
[Li+].FC(F)(CCSCCS(=O)([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID301032924	594.2340 (6.9405+587.2935)
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC	DTXSID901026630	377.1755
FC(F)(F)C1(OCC(CCO)O1)C(F)(F)F	DTXSID80612963	254.1270
O=S(=O)(N(CCCS(=O)(=O)[O-])CCC[N+](C)(C)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID701035706	900.5104
O=C(Nc1ccc(c(c1)B(O)O)C(F)(F)C(F)(F)C(F)(F)F)CN	DTXSID20896725	362.0085
Oc1csc(n1)C(F)C(F)(F)F	DTXSID60337369	201.1420
FC(F)(OC(F)(F)F)C(F)(F)C(F)(F)OC(F)(F)C(=O)NCCC[N+]([O-])(C)C	DTXSID101032504	446.2144
O=C(NCC(C)NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID20896720	466.1711
C[N+](C)(CCCN(CCC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC([O-])=O	DTXSID201034872	978.4552
FC1(F)C(F)(F)C(Cl)(Cl)C1(F)F	DTXSID2075217	232.9392
FC(F)(CNCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID90880191	781.1697
FC(F)(F)C(O)(C1CCc2ccccc2C1O)C(F)(F)F	DTXSID30956324	314.2236
CCO[Si](OCC)(OCC)C(F)(C(F)(F)F)S(F)(=O)=O	DTXSID10770767	346.3442
FC(F)(OS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID401034830	616.1440
FC(F)(C(/F)=C(\F)F)C(F)(F)C#N	DTXSID801026932	207.0490
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#N)C(F)(F)C#N	DTXSID30566780	352.0798
FC(F)(C(F)(F)C(F)(F)O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30591739	336.0508
FC(F)(C(F)(F)CC(=O)O)C(F)(F)C(F)(F)F	DTXSID401033501	278.0724
[Fe+6].FC(F)(F)C1(C[CH-]CO1)C(F)(F)F.[O+]#[C-].[O+]#[C-].[c-]1[c-][c-][c-][CH-]1	DTXSID60716251	380.0204 (55.8417+207.0943+28.0101+28.0101+61.0642)
FC(F)(CC(C#N)C#N)C(F)(F)C(F)(F)C(F)F	DTXSID20649455	280.1180
[NH4+].FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F	DTXSID90880196	481.1064 (463.0685+18.0379)
