Structure(SMILES)	DTXSID	FW
FC(=CCCC)C(C(F)(F)F)C(F)(F)F	DTXSID00811759	238.1459
FC(F)(Oc1cc(cc(c1)C(=O)O)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF	DTXSID601020671	614.2073
FC(=CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101036344	758.2139
[O-]S(=O)(=O)CCC[N+](C)(C)CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101035015	914.4939
FC(F)(C=CC(=O)OC)C(F)(F)C(F)(F)F	DTXSID10840171	254.1022
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)P(O)(=S)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID701033281	918.1630
OC(c1cc(OC(F)(F)C(F)F)ccc1)C1CCCC1	DTXSID801023188	292.2693
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)P(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID701033279	702.0674
[I-].C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID601032642	740.1852 (126.9050+613.2802)
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=N\C(C)=O)\c1ccccc1	DTXSID60897211	385.2486
