Structure(SMILES)	DSSTox_Structure_Id
FC(F)(OC(\F)=C(/F)F)C(F)(OC(F)(F)C(F)(F)C(=O)OC)C(F)(F)F	DTXCID6024969
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C1(F)F	DTXCID8026511
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5026548
FC(F)(C(F)(F)C(Br)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3026560
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	DTXCID1026613
FC1(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F	DTXCID9027029
[K+].O.FC(F)(F)C(F)(F)COc1ccc(F)cc1c1cccc(c1)c1nc([n-]n1)C(N)=O	DTXCID3027328
FC(F)(F)C(F)(F)COc1ccc(F)cc1c1cccc(c1)c1nc([NH]n1)C(N)=O	DTXCID8027329
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6027553
FC(F)(CCOC(=O)C(=C)C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1027558
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0027565
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5027566
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C=C	DTXCID4027575
FC(F)(C(F)(F)CCI)C(F)(F)C(F)(F)F	DTXCID9027578
FC(F)(C(F)(F)C(F)(F)I)C(F)(F)F	DTXCID8027583
O=C(Nc1ccc(cc1C)C(F)(C(F)(F)F)C(F)(F)F)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O	DTXCID2027672
FC1(F)C(F)(F)C(F)(COP(=O)(O)OCC2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)C(F)(F)C1(F)F	DTXCID7029906
FC1(F)C(F)(F)C(F)(COP(=O)(O)OP(=O)(O)OCC2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)C(F)(F)C1(F)F	DTXCID2029909
FC1(F)C(F)(F)C(F)(COP(=O)(O)O)C(F)(F)C(F)(F)C1(F)F	DTXCID5029974
[I-].C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6030021
FC(F)(C(F)(F)OC(F)C(F)(F)F)C(F)(F)F	DTXCID5030581
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID5030583
FC(F)(F)C(F)(F)C(F)(F)F	DTXCID3031076
[Na+].FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0031267
FC(F)(F)C(F)(F)COCc1cc(ccc1Cl)n1nc(nc1c1ccccc1)C(N)=O	DTXCID5031711
FC(F)(F)C(F)(c1ccc2N(C(=O)N(Cc2c1)NCc1cccnc1)C(C)=O)C(F)(F)F	DTXCID2031825
ClC(F)(F)C(Cl)(F)F	DTXCID906434
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2011859
FC(F)(F)C(F)(F)OC(\F)=C(/F)F	DTXCID4032906
Brc1cc(ccc1NC(=O)C(F)(C(F)(F)F)C(F)(F)F)[N+]([O-])=O	DTXCID7032979
Clc1cc(c(Cl)cc1NC(=O)C(F)(C(F)(F)F)C(F)(F)F)[N+]([O-])=O	DTXCID6032980
FC1(F)C(F)(F)C(F)(C(=O)Nc2ccc(cc2Br)[N+]([O-])=O)C(F)(F)C(F)(F)C1(F)F	DTXCID2033071
FC1(F)C(F)(F)C(F)(C(=O)Nc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)C(F)(F)C(F)(F)C1(F)F	DTXCID7033072
FC1(F)C(F)(F)C(F)(C(=O)Nc2ccc(cc2C#N)[N+]([O-])=O)C(F)(F)C(F)(F)C1(F)F	DTXCID2033073
FC1(F)C(F)(F)C(F)(C(=O)Nc2cc(Cl)c(Cl)c(Cl)c2Cl)C(F)(F)C(F)(F)C1(F)F	DTXCID7033074
Brc1cc(ccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F)[N+]([O-])=O	DTXCID4033213
[Li+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID9033422
