,Type,Compounds,SMILES,Exposure_time,pH,ATSC6pe,AATS2dv,PFAS_concentration (μg/kg),OC_content (%),Cultivate_mode,Protein_content (%),logRCF,References,Prediction
31,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,98,8.75,-2.14587551,29.95454545,866,0.21,0,4,-0.64,[10],-0.392245279
78,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,98,8.75,0.185548582,29.75,797,0.21,0,4,-0.61,[10],-0.44327465
104,10,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,98,8.75,0.163592,29.79411765,1062,0.21,0,4,-0.52,[10],-0.425707429
192,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,90,7.43,0.1936,29.7173913,2.82,1.1,1,7.14,-0.5,[6],-0.205215706
312,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,70,7.66,-0.22830519,29.85714286,7.47,1.1,1,4,-0.39,[1],-0.020965487
53,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,162,6.1,0.191709375,29.67241379,93.45,2.24,0,4.45,-0.356547324,[4],-0.189968558
298,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,-0.22830519,29.85714286,1000,2.38,1,4,-0.34,[8],-0.420645161
159,12,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,80,5.67,0.194520809,29.69230769,10,0.93,1,5.32,-0.337242168,[15],-0.373565997
168,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,98,8.75,0.1936,29.7173913,715,0.21,0,4,-0.3,[10],-0.271254215
291,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,129,6.1,-0.22830519,29.85714286,11.55,2.24,0,7,-0.29,[4],-0.168251947
8,4,N-EtFOSAA,CCN(CC(=O)O)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,60,7.43,-1.642942888,20.98312236,0.5,1.94,0,4,-0.28,[3],-0.129906267
191,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,90,7.18,0.1936,29.7173913,91.26,0.9,1,7.14,-0.25,[6],-0.118736976
1,2,PFOSA,C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,30,7.2,0.092125911,27.05263158,496,2.3,0,5.32,-0.18,[2],-0.050040323
197,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,70,7.29,0.1936,29.7173913,2.07,1.19,1,4,-0.18,[6],-0.021975806
207,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,162,6.1,0.194258667,28.61818182,49.66,2.24,0,4.45,-0.15490196,[4],-0.054002948
66,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,80,5.67,0.191709375,29.67241379,10,0.93,1,5.32,-0.15490196,[15],-0.240058317
35,6,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,162,6.1,-0.152785185,27.93548387,48.58,2.24,0,5,-0.15,[4],-0.046887114
135,11,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,90,7.18,0.1879375,28.37209302,0.07,0.9,1,7.14,-0.15,[6],-0.072701613
326,17,PFUnA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,80,5.67,0.186962286,29.65625,10,0.93,1,5.32,-0.142667504,[15],-0.238824445
