,Type,Compounds,SMILES,Exposure_time,pH,ATSC6pe,AATS2dv,PFAS_concentration (μg/kg),OC_content (%),Cultivate_mode,Protein_content (%),logRCF,References,Prediction
254,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,6.2,0.73,[14],0.682258065
255,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,4.58,0.73,[14],0.723830645
256,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,200,18.27,0,7.76,0.74,[14],0.849986926
257,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,4.85,0.75,[14],0.754637097
220,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,5.42,0.75,[14],0.73375
258,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,5.46,0.76,[14],0.737016129
221,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,4.32,0.76,[14],0.727822581
43,6,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,60,7,-0.152785185,27.93548387,31.86,0.01,0,7.14,0.77,[9],0.939798387
185,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,45,8.26,0.1936,29.7173913,416.8,1.93,0,7.4,0.78,[13],0.712616571
308,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,130,7.23,-0.22830519,29.85714286,5.3,1.04,1,5.42,0.79,[6],0.82448177
259,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,6.97,0.8,[14],0.807862903
173,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,50,6.5,0.1936,29.7173913,1000,19.08,0,4.49,0.81,[11],0.803145161
222,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,5.3,0.87,[14],0.801008065
174,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,50,6.5,0.1936,29.7173913,200,19.08,0,4.49,0.87,[11],0.805766129
260,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,200,18.27,0,5.13,0.87,[14],0.834556452
302,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,90,7.43,-0.22830519,29.85714286,0.05,1.1,1,7.14,0.88,[6],0.757620968
19,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,90,7.43,-2.14587551,29.95454545,0.32,1.1,1,7.14,0.88,[6],0.806805337
188,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,45,8.26,0.1936,29.7173913,416.8,1.93,0,10.4,0.889301703,[13],0.877798873
46,6,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,240,7.84,-0.152785185,27.93548387,0.01,0.85,1,4,0.9,[6],0.85625
171,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,50,12,0.1936,29.7173913,1000,19.08,0,4.93,0.9,[11],0.606715653
262,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,200,18.27,0,7,0.91,[14],0.8625
224,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,200,18.27,0,5.16,0.94,[14],0.862701613
301,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,90,7.18,-0.22830519,29.85714286,3.99,0.9,1,7.14,0.94,[6],0.901078204
157,12,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,240,7.84,0.194520809,29.69230769,0.04,0.85,1,4,0.98,[6],0.847419355
263,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,1000,18.27,0,8.02,0.98,[14],0.960657354
86,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,120,7.56,0.185548582,29.75,0.08,0.93,1,3.4,0.99,[6],0.881144933
184,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,45,8.26,0.1936,29.7173913,416.8,1.93,0,8.23,1.01,[13],0.891771515
24,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,70,7.29,-2.14587551,29.95454545,0.24,1.19,1,4,1.03,[6],0.923973577
132,11,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,60,7,0.1879375,28.37209302,67.64,0.01,0,8.23,1.04,[9],0.897822581
172,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,50,6.5,0.1936,29.7173913,200,19.08,0,4.93,1.04,[11],0.950806452
22,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,120,7.56,-2.14587551,29.95454545,0.12,0.93,1,3.4,1.04,[6],0.928793929
91,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,240,7.84,0.185548582,29.75,0.71,0.85,1,4,1.04,[6],0.961048387
120,10,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,28,6.6,0.163592,29.79411765,200,3.85,0,4,1.05,[7],0.71608871
61,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,90,7.08,0.191709375,29.67241379,0.02,1.1,1,1.38,1.11,[6],1.003225806
134,11,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,60,7,0.1879375,28.37209302,81.85,0.01,0,4,1.11,[9],0.82580856
310,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,240,7.84,-0.22830519,29.85714286,2.86,0.85,1,4,1.12,[6],1.071169355
264,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,200,18.27,0,7.86,1.14,[14],1.014906281
113,10,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,70,7.17,0.163592,29.79411765,1.47,0.95,1,4,1.15,[6],1.176686233
266,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,200,18.27,0,6.81,1.17,[14],0.997096774
265,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,45,6.5,0.194258667,28.61818182,200,18.27,0,7.47,1.17,[14],1.035323572
306,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,70,7.17,-0.22830519,29.85714286,2.5,0.95,1,4,1.18,[6],1.142747899
304,15,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,120,7.8,-0.22830519,29.85714286,2.53,0.77,1,3.4,1.2,[6],1.222419355
110,10,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,90,7.08,0.163592,29.79411765,1.13,1.1,1,1.38,1.21,[6],1.143830645
10,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,224,6.1,-2.14587551,29.95454545,4.68,2.24,1,1.38,1.24,[4],1.031115184
181,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,60,7,0.1936,29.7173913,108,0.01,0,8.23,1.28,[9],1.049381069
84,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,90,7.08,0.185548582,29.75,1.07,1.1,1,1.38,1.31,[6],1.225927419
89,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,130,7.23,0.185548582,29.75,1.73,1.04,1,5.42,1.36,[6],1.078629032
25,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,130,7.23,-2.14587551,29.95454545,8.47,1.04,1,5.42,1.39,[6],1.153006226
94,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,60,7,0.185548582,29.75,34.9,0.01,0,7.14,1.46,[9],1.396749772
313,16,PFPeA,C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,80,5.67,-0.22830519,29.85714286,10,0.93,1,5.32,1.531478917,[15],0.931753312
87,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,70,7.17,0.185548582,29.75,1.25,0.95,1,4,1.56,[6],1.321721909
42,6,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,60,7,-0.152785185,27.93548387,39.14,0.01,0,8.23,1.56,[9],1.411008065
18,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,70,7.18,-2.14587551,29.95454545,7.19,0.9,1,7.14,1.59,[6],1.381310321
27,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,240,7.84,-2.14587551,29.95454545,4.76,0.85,1,4,1.64,[6],1.399215513
85,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,120,7.8,0.185548582,29.75,1.53,0.77,1,3.4,1.69,[6],1.395040323
93,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,60,7,0.185548582,29.75,48.49,0.01,0,8.23,1.69,[9],1.642096774
158,12,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,240,7.7,0.194520809,29.69230769,0.01,1.04,1,4,1.75,[6],1.338145161
95,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,60,7,0.185548582,29.75,47.72,0.01,0,4,1.81,[9],1.667499407
44,6,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,60,7,-0.152785185,27.93548387,43.68,0.01,0,4,1.86,[9],1.561370968
32,5,PFBA,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,80,5.67,-2.14587551,29.95454545,10,0.93,1,5.32,1.977723605,[15],1.469656433
