SMILES,logKow_EPISuite
CC(COCCOC(C)COCC(C)NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.27
FC(F)=C(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(F)(=O)=O)C(F)(F)F,6.24
CCCCC(Oc1ccc(cc1C(C)(C)CC)C(C)(C)CC)C(=O)Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1,10.83
OCCNP(=O)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.9
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)S(F)(=O)=O,5.73
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.83
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.21
CCOC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,3.72
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.17
CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.87
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,5.77
FC(=O)C(F)(F)C(F)(F)F,0.6
FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,3.07
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,4.4
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS(Cl)(=O)=O,6.31
FC(F)=C,1.24
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F,7.45
CN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.19
FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.93
OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.8
[O-][N+](=O)c1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,5.47
FC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(F)(=O)=O)C(F)(F)F)C(F)(F)F,5.68
COC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,3.85
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,3.54
CCN(CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.44
Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1,2.39
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.5
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.81
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.78
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.99
CC(F)(F)C(F)(F)C(F)(F)CCSSCCC(F)(F)C(F)(F)C(C)(F)F,9.04
C[N](C)(CCO)CCCN(CCCS(O)(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.49
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.49
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.08
CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.65
CN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.86
COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.34
FC1(F)C(F)(F)C(F)(F)C1(F)F,1.97
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,8.44
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.5
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.33
CN(C)CC(O)SC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.69
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.07
CCN(CCOC(O)Nc1ccc(C)c(NC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.98
CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.99
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,1.82
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.16
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,4.49
FC(F)(CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.66
FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3.44
C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,3.92
C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,4.41
C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.59
C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,5.75
C(O)C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,5.96
C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(COC(C=C)=O)O,6.91
C1=C(OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C=CC=C1,8.26
C(C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)F)C(CO[P](=O)(O)O)O,5.47
C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,8.42
C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(CO[P](=O)(O)O)O,6.81
C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,9.76
C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(CO[P](=O)(O)O)O,8.15
C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CO,11.1
C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(CO[P](=O)(O)O)O,9.49
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(F)F)CO,12.44
C(NCCCN(C)C)C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,6.2
C(NCCCN(C)C)C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.69
C(N(C)C)CCNC(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,7.54
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CNCCC[N+](CCC([O-])=O)(C)C,2.26
C(NCCCN(C)C)C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.02
C(NCCCN(C)C)C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,8.88
C[N+](CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(F)C(F)(F)F)(CCC(O)=O)C,4.45
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(O)CNCCC[N+](CCC([O-])=O)(C)C,3.12
C(OCCOCCOCCCC)C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,7.18
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(CC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.27
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.61
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(F)C(F)(F)F,6.46
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(O)CC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)C,2.1
CC(OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)COCC(OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C,14.1
CC(OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(F)C(F)(F)F)COCC(OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(F)C(F)(F)F)C,15.81
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CO[P](O)(O)=O,5.96
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CO[P](O)(O)=O,7.29
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CO[P](O)(O)=O,8.63
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CO[P](O)(O)=O,9.97
FC(F)(C(F)(C(F)(C(F)(F)CCOP(O)(OCCC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)F)=O)F)F)F,8.08
FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)CCOP(O)(OCCC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)F)=O)F)F)F)F)F,10.76
FC(C(F)(F)C(F)(F)F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)CCOP(O)(OCCC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)F)F)=O)F)F)F)F)F,13.44
C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](=O)(=O)N(CC)CCO[P](=O)(OCCN(CC)[S](C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(=O)=O)O[H],12.6
FC(C(F)(F)C(F)(C(F)(F)C(F)(F)F)F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)CCOP(O)(OCCC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)F)F)=O)F)F)F)F)F,16.11
FC(F)(C(F)(C(F)(C(F)(F)CCOP(O)(OCCC(F)(C(F)(F)C(F)(F)C(F)(F)F)F)=O)F)F)F,6.75
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(CCC)=O,4.74
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,3.79
FC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(NCC)=O,4.75
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,4.46
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(NCC)=O,5.42
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,5.13
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(N)=O,5.8
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)F)C(F)(F)S(=O)(NC)=O,6.27
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)S(=O)(N)=O,3.13
OC(CNS(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(=O)=O)=O,3.51
OC(CNS(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(=O)=O)=O,4.18
OC(CNS(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(F)F)(=O)=O)=O,4.85
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(NCC(O)=O)(=O)=O,2.85
C(N([S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCO)C,3.32
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,3.29
FC(C(F)(F)F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,3.96
C(N([S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCO)C,4.66
FC(C(C(F)(F)F)(F)F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,4.62
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(NCCO)=O,2.62
C(C(F)(F)C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(COC(C=C)=O)O,9.59
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)C(O)COC(=O)C=C,10.93
O=C(C(C(C(C(C(O)=O)(F)F)(F)F)(F)F)(F)F)O,1.53
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)F,0.38
C(OC(C(C(C(C(C(OCC)=O)(F)F)(F)F)(F)F)(F)F)=O)C,3.68
C(CC(C(=O)OC)C(=O)OC)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,5.37
C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(Cl)=O,6.75
C(CC(C(=O)OCCCCOC=C)C(=O)OCCCCOC=C)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,7.5
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)COC(C=C)=O,4.43
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)COC(C(C)=C)=O,4.98
