Study,PFAS,SMILES,half_life,half_life_sd,Individual_data,N_individuals,half_life_type,Occupational_exposure,SE,CI_l,CI_u,Comments,log_half_life,LogKa,N_excluded
Zhang et al. 2013,PFUnA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.5,2.179449472,False,19,apparent,False,0.5,,,,0.6532125137753437,5.167116641998291,
Zhang et al. 2013,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.3,1.788854382,False,20,apparent,False,0.4,,,,0.36172783601759284,5.382719993591309,
Zhang et al. 2013,4mPFOA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F)O,0.64,0.346410162,False,12,apparent,False,0.1,,,,-0.1938200260161128,5.314042091369629,
Zhang et al. 2013,5mPFOA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)O,0.53,0.346410162,False,12,apparent,False,0.1,,,,-0.27572413039921095,5.314042091369629,
Wallis et al. 2023,PFO4DA,C(=O)(C(OC(OC(OC(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.347945205,0.727858669,False,44,intrinsic,False,,0.235616438,0.665753425,Had wrong values,-0.45848914409895514,4.925169467926025,
Wallis et al. 2023,Nafion-BP2,C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)F)(F)F)F,0.810958904,3.467759775,False,44,intrinsic,False,,0.482191781,2.531506849,Had wrong values,-0.09100115345622455,5.72323751449585,
Wallis et al. 2023,PFO5DoA,C(=O)(C(OC(OC(OC(OC(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,1.038356164,17.01891194,False,44,intrinsic,False,,0.545205479,10.60273973,Had wrong values,0.016346345351172267,5.108689308166504,
Nilsson et al.2022a,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,4.1,1.4,False,88,apparent,True,,,,,0.6127838567197355,5.895376205444336,
Nilsson et al.2022a,1mPFOS,C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,12.4,5.0,False,81,apparent,True,,,,,1.0934216851622351,5.8139753341674805,
Nilsson et al.2022a,3mPFOS,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)F,7.8,2.8,False,79,apparent,True,,,,,0.8920946026904804,5.8139753341674805,
